throttle,velocity,acceleration
0.32,1.081953,0.031343
0.32,1.083416,0.030482
0.32,1.084824,0.029592
0.32,1.086200,0.028710
0.32,1.087522,0.027846
0.32,1.088824,0.027041
0.32,1.090083,0.026296
0.32,1.091318,0.025586
0.32,1.092497,0.024871
0.32,1.093663,0.024192
0.32,1.094781,0.023487
0.32,1.095877,0.022796
0.32,1.096928,0.022154
0.32,1.097960,0.021488
0.32,1.098951,0.020853
0.32,1.099928,0.020254
0.32,1.100865,0.019686
0.32,1.101787,0.019134
0.32,1.102671,0.018599
0.32,1.103541,0.018066
0.32,1.104368,0.017514
0.32,1.105189,0.017009
0.32,1.105978,0.016536
0.32,1.106753,0.016061
0.32,1.107499,0.015655
0.32,1.108227,0.015190
0.32,1.108933,0.014771
0.32,1.109624,0.014354
0.32,1.110280,0.013906
0.32,1.110933,0.013529
0.32,1.111552,0.013098
0.32,1.112167,0.012714
0.32,1.112753,0.012364
0.32,1.113336,0.012015
0.32,1.113887,0.011674
0.32,1.114436,0.011345
0.32,1.114961,0.011041
0.32,1.115476,0.010699
0.32,1.115967,0.010401
0.32,1.116459,0.010119
0.32,1.116926,0.009826
0.32,1.114882,-0.002968
0.32,1.111007,-0.024801
0.32,1.108529,-0.039653
0.32,1.106939,-0.049934
0.32,1.105939,-0.044714
0.32,1.105283,-0.028619
0.32,1.104868,-0.018305
0.32,1.104579,-0.011799
0.32,1.104386,-0.007766
0.32,1.104236,-0.005237
0.32,1.104135,-0.003665
0.32,1.104034,-0.002725
0.32,1.103972,-0.002071
0.32,1.103900,-0.001677
0.32,1.103847,-0.001436
0.32,1.103782,-0.001262
0.32,1.103740,-0.001158
0.32,1.103682,-0.001093
0.32,1.103638,-0.001046
0.32,1.103584,-0.000992
0.32,1.103543,-0.000988
0.32,1.103490,-0.000959
0.32,1.103452,-0.000932
0.32,1.103402,-0.000908
0.32,1.103367,-0.000878
0.32,1.103314,-0.000877
0.32,1.103285,-0.000836
0.32,1.103242,-0.000798
0.32,1.103212,-0.000774
0.32,1.103168,-0.000733
0.32,1.103141,-0.000719
0.32,1.103099,-0.000716
0.32,1.103076,-0.000684
0.32,1.103035,-0.000666
0.32,1.103009,-0.000657
0.32,1.102972,-0.000634
0.32,1.102949,-0.000633
0.32,1.102907,-0.000637
0.32,1.102889,-0.000600
0.32,1.102849,-0.000619
0.32,1.102831,-0.000588
0.34,0.036015,0.000000
0.34,0.027827,0.000000
0.34,0.026724,0.000000
0.34,0.079530,0.000000
0.34,0.034532,-0.007412
0.34,0.045176,0.086744
0.34,0.037816,0.055462
0.34,0.049352,-0.150891
0.34,0.042067,0.037676
0.34,0.053844,0.043342
0.34,0.046594,0.043890
0.34,0.058519,0.045832
0.34,0.051366,0.046492
0.34,0.063467,0.048113
0.34,0.056452,0.049290
0.34,0.068665,0.050729
0.34,0.061738,0.051861
0.34,0.074163,0.053480
0.34,0.067881,0.057141
0.34,0.204366,0.678506
0.34,0.292466,1.153642
0.34,0.408115,1.669761
0.34,0.445948,1.890339
0.34,0.440212,1.179233
0.34,0.456311,0.819222
0.34,0.528643,0.602639
0.34,0.550568,0.523099
0.34,0.579820,0.698037
0.34,0.584320,0.640046
0.34,0.606973,0.391653
0.34,0.613712,0.315719
0.34,0.637788,0.289842
0.34,0.656730,0.362052
0.34,0.670475,0.317509
0.34,0.680537,0.334123
0.34,0.716353,0.392822
0.34,0.741051,0.421603
0.34,0.737952,0.337383
0.34,0.752329,0.358960
0.34,0.762142,0.228945
0.34,0.772146,0.155477
0.34,0.779932,0.209901
0.34,0.793552,0.206116
0.34,0.808452,0.231555
0.34,0.817451,0.226524
0.34,0.827329,0.236986
0.34,0.841934,0.241912
0.34,0.856484,0.240160
0.34,0.867385,0.249667
0.34,0.878616,0.256434
0.34,0.892952,0.255090
0.34,0.906941,0.252283
0.34,0.918641,0.256283
0.34,0.930276,0.258299
0.34,0.943008,0.250278
0.34,0.955274,0.241664
0.34,0.966533,0.239457
0.34,0.977485,0.236048
0.34,0.988069,0.225307
0.34,0.998349,0.215377
0.34,1.008188,0.208274
0.34,1.017784,0.201492
0.34,1.026980,0.194552
0.34,1.035960,0.188053
0.34,1.044601,0.182067
0.34,1.053033,0.176247
0.34,1.061144,0.170820
0.34,1.069046,0.165431
0.34,1.076658,0.160284
0.34,1.084080,0.155233
0.34,1.091232,0.150442
0.34,1.098227,0.145908
0.34,1.104947,0.141446
0.34,1.111470,0.136951
0.34,1.113813,0.112905
0.34,1.117566,0.096694
0.34,1.122107,0.085802
0.34,1.127051,0.077903
0.34,1.132144,0.091658
0.34,1.137273,0.098534
0.34,1.142351,0.101218
0.34,1.147357,0.101533
0.34,1.152265,0.100605
0.34,1.157070,0.098984
0.34,1.161770,0.097096
0.34,1.166368,0.095056
0.34,1.170864,0.092995
0.34,1.175272,0.091013
0.34,1.179577,0.089035
0.34,1.183805,0.087183
0.34,1.187941,0.085383
0.34,1.192005,0.083665
0.34,1.195983,0.082030
0.34,1.199891,0.080428
0.34,1.203717,0.078881
0.34,1.207472,0.077332
0.34,1.211150,0.075836
0.34,1.214764,0.074366
0.34,1.218302,0.072924
0.34,1.221768,0.071481
0.34,1.225160,0.070046
0.34,1.228490,0.068629
0.34,1.231746,0.067222
0.34,1.234938,0.065848
0.34,1.238061,0.064509
0.34,1.241123,0.063165
0.34,1.244106,0.061796
0.34,1.247036,0.060493
0.34,1.249900,0.059195
0.34,1.252708,0.057925
0.34,1.255447,0.056710
0.34,1.258131,0.055472
0.34,1.260755,0.054274
0.34,1.263323,0.053079
0.34,1.265836,0.051941
0.34,1.268291,0.050802
0.34,1.270692,0.049684
0.34,1.273039,0.048577
0.34,1.275335,0.047498
0.34,1.277583,0.046461
0.34,1.279782,0.045449
0.34,1.281925,0.044433
0.34,1.284022,0.043431
0.34,1.286079,0.042478
0.34,1.288085,0.041519
0.34,1.290050,0.040622
0.34,1.291965,0.039717
0.34,1.293846,0.038837
0.34,1.295674,0.037942
0.34,1.297470,0.037098
0.34,1.299221,0.036281
0.34,1.300937,0.035455
0.34,1.302611,0.034686
0.34,1.304252,0.033914
0.34,1.305851,0.033150
0.34,1.307424,0.032436
0.34,1.308956,0.031724
0.34,1.310475,0.031114
0.34,1.311941,0.030450
0.34,1.313384,0.029799
0.34,1.314778,0.029110
0.34,1.316159,0.028418
0.34,1.317494,0.027763
0.34,1.318810,0.027129
0.34,1.320085,0.026533
0.34,1.321345,0.025930
0.34,1.322564,0.025349
0.34,1.323765,0.024776
0.34,1.324930,0.024229
0.34,1.326081,0.023680
0.34,1.327194,0.023150
0.34,1.328291,0.022629
0.34,1.329360,0.022148
0.34,1.330411,0.021650
0.34,1.331431,0.021187
0.34,1.332434,0.020715
0.34,1.333408,0.020242
0.34,1.334371,0.019803
0.34,1.335305,0.019370
0.34,1.336221,0.018937
0.34,1.337110,0.018508
0.34,1.337983,0.018059
0.34,1.338815,0.017548
0.34,1.339654,0.017164
0.34,1.340452,0.016709
0.34,1.341258,0.016375
0.34,1.342024,0.016047
0.34,1.342796,0.015707
0.34,1.343530,0.015391
0.34,1.344271,0.015064
0.34,1.344971,0.014737
0.34,1.345682,0.014431
0.34,1.346354,0.014118
0.34,1.347034,0.013812
0.34,1.347673,0.013510
0.34,1.348321,0.013196
0.34,1.348935,0.012908
0.34,1.349560,0.012630
0.34,1.350145,0.012359
0.34,1.350736,0.012073
0.34,1.351298,0.011815
0.34,1.351874,0.011569
0.34,1.352405,0.011298
0.34,1.352953,0.011089
0.34,1.353462,0.010820
0.34,1.353985,0.010556
0.34,1.354473,0.010339
0.34,1.354973,0.010098
0.34,1.355435,0.009864
0.34,1.355914,0.009645
0.34,1.356356,0.009416
0.34,1.356815,0.009211
0.34,1.357239,0.009018
0.34,1.357677,0.008816
0.34,1.358082,0.008631
0.34,1.359664,0.014245
0.34,1.359552,0.011567
0.34,1.361710,0.020163
0.34,1.362388,0.021530
0.34,1.362725,0.015302
0.36,0.027827,0.000000
0.36,0.021348,0.000000
0.36,0.022454,0.000000
0.36,0.079777,0.000000
0.36,0.014539,-0.066440
0.36,0.048004,0.133279
0.36,0.030497,0.040217
0.36,0.042505,-0.186359
0.36,0.035696,0.105786
0.36,0.048312,0.001544
0.36,0.041798,0.056505
0.36,0.054640,0.060675
0.36,0.048272,0.062879
0.36,0.061228,0.064578
0.36,0.055055,0.066283
0.36,0.068739,0.070494
0.36,0.065516,0.086223
0.36,0.234801,0.867867
0.36,0.352204,1.485747
0.36,0.409285,1.702731
0.36,0.405598,1.700407
0.36,0.412750,0.889743
0.36,0.471597,0.596964
0.36,0.489471,0.400929
0.36,0.561686,0.780440
0.36,0.571097,0.791736
0.36,0.616576,0.724897
